modelid,makeid
1,2
2,8
3,10
4,10
5,22
6,10
7,28
8,22
9,18
10,8
11,3
12,8
13,14
14,28
15,28
16,14
17,14
18,19
19,8
20,3
21,2
22,22
23,2
24,19
25,8
26,8
27,8
28,13
29,8
30,8
31,23
32,12
33,1
34,9
35,9
36,20
37,9
38,21
39,8
40,20
41,6
42,6
43,6
44,6
45,15
46,6
47,25
48,21
49,6
50,25
51,4
52,9
53,20
54,9
55,6
56,6
57,6
58,6
59,12
60,9
61,9
62,9
63,1
64,6
65,7
66,25
67,25
68,9
69,15
70,11
71,11
72,25
73,20
74,20
75,17
76,17
77,9
78,9
79,27
80,27
81,17
82,9
83,24
84,20
85,5
86,4
87,11
88,4
89,8
90,11
91,11
92,11
93,11
94,21
95,24
96,2
97,20
98,11
99,11
100,13
101,11
102,11
103,15
104,21
105,1
106,20
107,1
108,6
109,24
110,21
111,27
112,7
113,21
114,4
115,11
116,15
117,9
118,6
119,18
120,25
121,15
122,1
123,11
124,27
125,9
126,15
127,6
128,6
129,11
130,7
131,7
132,6
133,17
134,9
135,4
136,24
137,1
138,21
139,27
140,11
141,8
142,12
143,27
144,27
145,9
146,11
147,1
148,4
149,20
150,13
151,13
152,13
153,13
154,6
155,21
156,20
157,20
158,27
159,5
160,4
161,4
162,1
163,9
164,16
165,17
166,25
167,10
168,21
169,27
170,25
171,11
172,11
173,26
174,27
175,20
176,6
177,21
178,17
179,20
180,6
181,10
182,15
