modelid,model
1,100LS
2,1200
3,124 Sport Coupe
4,128
5,12Tl
6,131
7,144EA
8,18I
9,1900
10,200-SX
11,2002
12,210
13,240D
14,245
15,264Gl
16,280S
17,300D
18,304
19,310
20,320I
21,4000
22,5 GTL
23,5000
24,504
25,510
26,510 Hatchback
27,610
28,626
29,710
30,810
31,99Le
32,Accord
33,Ambassador
34,Aries
35,Aries Wagon
36,Arrow GS
37,Aspen
38,Astro
39,B210
40,Barracuda 340
41,Bel Air
42,C10
43,C20
44,Camaro
45,Capri
46,Caprice Classic
47,Carina
48,Catalina
49,Cavalier
50,Celica
51,Century
52,Challenger
53,Champ
54,Charger
55,Chevelle Concours
56,Chevelle Malibu
57,Chevette
58,Citation
59,Civic
60,Colt
61,Colt Hardtop
62,Colt Hatchback
63,Concord
64,Concours
65,Cordoba
66,Corolla
67,Corona
68,Coronet
69,Cougar
70,Country
71,Country Squire
72,Cressida
73,Cricket
74,Custom Suburb
75,Cutlass Ciera
76,Cutlass Salon
77,D100
78,Dart
79,Dasher
80,Dasher (Diesel)
81,Delta 88 Royale
82,Diplomat
83,DL Wagon
84,Duster
85,Eldorado
86,Electra
87,Escort
88,Estate Wagon
89,F-10 Hatchback
90,F108
91,F250
92,Fairmont
93,Fiesta
94,Firebird
95,Forester
96,Fox
97,Fury
98,Futura
99,Galaxie 500
100,GLC
101,Gran Torino
102,Granada
103,Grand Marquis
104,Grand Prix
105,Gremlin
106,Horizon
107,Hornet
108,Impala
109,Impreza
110,J2000 Se Hatchback
111,Jetta
112,Lebaron
113,Lemans V6
114,Lesabre Custom
115,Ltd Landau
116,Lynx L
117,Magnum XE
118,Malibu
119,Manta
120,Mark II
121,Marquis
122,Matador
123,Maverick
124,Model 111
125,Monaco
126,Monarch
127,Monte Carlo
128,Monza
129,Mustang
130,New Yorker Brougham
131,Newport Royal
132,Nova
133,Omega
134,Omni
135,Opel Isuzu DeluXE
136,Outback
137,Pacer
138,Phoenix
139,Pickup
140,Pinto
141,Pl510
142,Prelude
143,Rabbit
144,Rabbit L
145,Rampage
146,Ranger
147,Rebel Sst
148,Regal Sport Coupe
149,Reliant
150,Rx-4
151,Rx-7 GS
152,Rx2 Coupe
153,Rx3
154,S-10
155,Safari
156,Sapporo
157,Satellite
158,Scirocco
159,Seville
160,Skyhawk
161,Skylark
162,Spirit Dl
163,St. Regis
164,Stanza XE
165,Starfire SX
166,Starlet
167,Strada
168,Sunbird Coupe
169,Super Beetle
170,Tercel
171,Thunderbird
172,Torino
173,Tr7 Coupe
174,Type 3
175,Valiant
176,Vega
177,Ventura SJ
178,Vista Cruiser
179,Volare
180,Woody
181,X1.9
182,Zephyr
