carid,model,mpg,cylinders,displacement,horsepower,weight,acceleration,year
1,100LS,24,4,107,90,2430,14.5,70
2,100LS,20,4,114,91,2582,14,73
3,100LS,23,4,115,95,2694,15,75
4,Dasher,26,4,97,46,1835,20.5,70
5,12Tl,26,4,96,69,2189,18,72
6,1200,35,4,72,69,1613,18,71
7,124 Sport Coupe,26,4,98,90,2265,15.5,73
8,124 Sport Coupe,26,4,116,75,2246,14,74
9,124 Sport Coupe,30,4,88,76,2065,14.5,71
10,128,29,4,68,49,1867,19.5,73
11,128,24,4,90,75,2108,15.5,74
12,12Tl,27,4,101,83,2202,15.3,76
13,131,28,4,107,86,2464,15.5,76
14,144EA,19,4,121,112,2868,15.5,73
15,144EA,18,4,121,112,2933,14.5,72
16,18I,34.5,4,100,NULL,2320,15.8,81
17,1900,28,4,116,90,2123,14,71
18,1900,25,4,116,81,2220,16.9,76
19,200-SX,23.9,4,119,97,2405,14.9,78
20,2002,26,4,121,113,2234,12.5,70
21,200-SX,32.9,4,119,100,2615,14.8,81
22,210,31.8,4,85,65,2020,19.2,79
23,210,40.8,4,85,65,2110,19.2,80
24,210,37,4,85,65,1975,19.4,81
25,240D,30,4,146,67,3250,21.8,80
26,245,22,4,121,98,2945,14.5,75
27,245,20,4,130,102,3150,15.7,76
28,264Gl,17,6,163,125,3140,13.6,78
29,210,32.7,6,168,132,2910,11.4,80
30,280S,16.5,6,168,120,3820,16.7,76
31,300D,25.4,5,183,77,3530,20.1,79
32,304,30,4,79,70,2074,19.5,71
33,310,37.2,4,86,65,2019,16.4,80
34,310,38,4,91,67,1995,16.2,82
35,320I,21.5,4,121,110,2600,12.8,77
36,4000,34.3,4,97,78,2188,15.8,80
37,Dasher,22,4,121,76,2511,18,72
38,5 GTL,36,4,79,58,1825,18.6,77
39,5000,20.3,5,131,103,2830,15.9,78
40,5000,36.4,5,121,67,2950,19.9,80
41,504,25,4,110,87,2672,17.5,70
42,504,23,4,120,88,2957,17,75
43,504,19,4,120,88,3270,21.9,76
44,504,27.2,4,141,71,3190,24.8,79
45,504,21,4,120,87,2979,19.5,72
46,504,28.1,4,141,80,3230,20.4,81
47,510,27.2,4,119,97,2300,14.7,78
48,510,28,4,97,92,2288,17,72
49,510 Hatchback,37,4,119,92,2434,15,80
50,504,16.2,6,163,133,3410,15.8,78
51,610,22,4,108,94,2379,16.5,73
52,626,31.3,4,120,75,2542,17.5,80
53,626,31.6,4,120,74,2635,18.3,81
54,710,32,4,83,61,2003,19,74
55,710,24,4,119,97,2545,17,75
56,810,22,6,146,97,2815,14.5,77
57,810,24.2,6,146,120,2930,13.8,81
58,99Le,25,4,104,95,2375,17.5,70
59,99Le,21.6,4,121,115,2795,15.7,78
60,99Le,24,4,121,110,2660,14,73
61,99Le,25,4,121,115,2671,13.5,75
62,Accord,32.4,4,107,72,2290,17,80
63,Accord,36,4,107,75,2205,14.5,82
64,Accord,31.5,4,98,68,2045,18.5,77
65,Accord,29.5,4,98,68,2135,16.6,78
66,Ambassador,13,8,360,175,3821,11,73
67,Ambassador,15,8,390,190,3850,8.5,70
68,Ambassador,17,8,304,150,3672,11.5,72
69,Aries,29,4,135,84,2525,16,82
70,Aries Wagon,25.8,4,156,92,2620,14.4,81
71,Arrow GS,25.5,4,122,96,2300,15.5,77
72,Aspen,18.6,6,225,110,3620,18.7,78
73,Aspen,19.1,6,225,90,3381,18.7,80
74,Aspen,20.6,6,225,110,3360,16.6,79
75,Aspen,20,6,225,100,3651,17.7,76
76,Astro,23,4,140,78,2592,18.5,75
77,B210,32,4,85,70,1990,17,76
78,B210,31,4,79,67,1950,19,74
79,B210,39.4,4,85,70,2070,18.6,78
80,Barracuda 340,14,8,340,160,3609,8,70
81,Bel Air,15,8,350,145,4440,14,75
82,C10,13,8,350,145,4055,12,76
