makeid,make,city
1,Buick,Detroit
2,Amc,Southfield
3,Cadillac,New York
4,Mercury,Fond du Lac
5,Chevrolet,Detroit
6,Dodge,Auburn Hills
7,Chrysler,Auburn Hills
8,Plymouth,Auburn Hills
9,Oldsmobile,Lansing
10,Ford,Dearborn
11,Pontiac,Detroit
12,Triumph,Hinckley
13,Peugeot,Paris
14,Renault,‎Boulogne-Billancourt‎
15,Bmw,Munchen
16,Mercedes Benz,Stuttgart
17,Audi,IngoLStadt
18,Volkswagen,Wolfsburg
19,Opel,RusseLSheim
20,Fiat,Turin
21,Nissan,Yokohama
22,Mazda,Hiroshima
23,Toyota,toyota
24,Subaru,Tokyo
25,Honda,Tokyo
26,Datsun,Tokyo
27,Volvo,Gothenburg
28,Saab,Stockholm
