modelid,makeid
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,17
10,17
11,17
12,17
13,15
14,15
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,3
24,3
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,7
45,7
46,7
47,7
48,26
49,26
50,26
51,26
52,26
53,26
54,26
55,26
56,26
57,26
58,26
59,26
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,20
78,20
79,20
80,20
81,20
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,25
101,25
102,25
103,22
104,22
105,22
106,22
107,22
108,22
109,16
110,16
111,16
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,21
120,9
121,9
122,9
123,9
124,9
125,9
126,19
127,19
128,13
129,13
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,8
139,8
140,8
141,8
142,8
143,11
144,11
145,11
146,11
147,11
148,11
149,11
150,11
151,11
152,11
153,14
154,14
155,14
156,28
157,24
158,24
159,24
160,24
161,23
162,23
163,23
164,23
165,23
166,23
167,23
168,23
169,12
170,18
171,18
172,18
173,18
174,18
175,18
176,18
177,18
178,18
179,18
180,27
181,27
182,27
