modelid,model
1,Ambassador
2,Concord
3,Gremlin
4,Hornet
5,Matador
6,Pacer
7,Rebel Sst
8,Spirit Dl
9,100LS
10,4000
11,5000
12,Fox
13,2002
14,320I
15,Century
16,Electra
17,Estate Wagon
18,Lesabre Custom
19,Opel Isuzu DeluXE
20,Regal Sport Coupe
21,Skyhawk
22,Skylark
23,Eldorado
24,Seville
25,Bel Air
26,C10
27,C20
28,Camaro
29,Caprice Classic
30,Cavalier
31,Chevelle Concours
32,Chevelle Malibu
33,Chevette
34,Citation
35,Concours
36,Impala
37,Malibu
38,Monte Carlo
39,Monza
40,Nova
41,S-10
42,Vega
43,Woody
44,Cordoba
45,Lebaron
46,New Yorker Brougham
47,Newport Royal
48,1200
49,200-SX
50,210
51,310
52,510
53,510 Hatchback
54,610
55,710
56,810
57,B210
58,F-10 Hatchback
59,Pl510
60,Aries
61,Aries Wagon
62,Aspen
63,Challenger
64,Charger
65,Colt
66,Colt Hardtop
67,Colt Hatchback
68,Coronet
69,D100
70,Dart
71,Diplomat
72,Magnum XE
73,Monaco
74,Omni
75,Rampage
76,St. Regis
77,124 Sport Coupe
78,128
79,131
80,Strada
81,X1.9
82,Country
83,Country Squire
84,Escort
85,F108
86,F250
87,Fairmont
88,Fiesta
89,Futura
90,Galaxie 500
91,Gran Torino
92,Granada
93,Ltd Landau
94,Maverick
95,Mustang
96,Pinto
97,Ranger
98,Thunderbird
99,Torino
100,Accord
101,Civic
102,Prelude
103,626
104,GLC
105,Rx-4
106,Rx-7 GS
107,Rx2 Coupe
108,Rx3
109,240D
110,280S
111,300D
112,Capri
113,Cougar
114,Grand Marquis
115,Lynx L
116,Marquis
117,Monarch
118,Zephyr
119,Stanza XE
120,Cutlass Ciera
121,Cutlass Salon
122,Delta 88 Royale
123,Omega
124,Starfire SX
125,Vista Cruiser
126,1900
127,Manta
128,304
129,504
130,Arrow GS
131,Barracuda 340
132,Champ
133,Cricket
134,Custom Suburb
135,Duster
136,Fury
137,Horizon
138,Reliant
139,Sapporo
140,Satellite
141,Valiant
142,Volare
143,Astro
144,Catalina
145,Firebird
146,Grand Prix
147,J2000 Se Hatchback
148,Lemans V6
149,Phoenix
150,Safari
151,Sunbird Coupe
152,Ventura SJ
153,12Tl
154,18I
155,5 GTL
156,99Le
157,DL Wagon
158,Forester
159,Impreza
160,Outback
161,Carina
162,Celica
163,Corolla
164,Corona
165,Cressida
166,Mark II
167,Starlet
168,Tercel
169,Tr7 Coupe
170,Dasher
171,Dasher (Diesel)
172,Jetta
173,Model 111
174,Pickup
175,Rabbit
176,Super Beetle
177,Scirocco
178,Rabbit L
179,Type 3
180,144EA
181,245
182,264Gl
